comment_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,class
""":::I really don't care about the few google searches that result (one of which is this site). If I put in Chelsea or Boys Town (halstead st, Chicago) TONS of hits appear.  Not a handful.  Gays don't have to wear signs.  But there should be more than one drinking establishment that caters to them.  The one dike bar on 4th ave is usually pretty dead, as is the one on 5th ave.  The point is there IS no gay community.  A few lesbians does not a community make.  But I'm not denying that lesbians call the neighborhood home.  It has been a liberal neighborhood for 30 years.  The point is, the term itself, Dyke Slope.  I don't like it.  I've never heard it.  I don't think its appropriate for Wikipedia.  And don't tell me what to do.  I can type whatever I feel like on this page.

I think you sound like a delusional, academic lesbian who wishes you had a neighborhood of your own.  I've never even denied that lesbians are found in the neighborhood.  My point is that while they have always been present, perhaps in greater numbers than elsewhere, they have had minimal impact on the neighborhood. They certainly have not been numerous enough to warrant a term like """"Dike Slope"""".  The reality is lesbianism is largely an academic phenomenon.  It doesn't surprise me in the slightest some professor would make such a claim.  But, that one class does not trump a substantial portion of my personal experience over many years.

"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0
"This plot description is much superiorcomments? 

“Joliet” Jake Blues is released from the Joliet Correctional Center after serving three years of a prison sentence after being convicted of armed robbery. Jake is irritated at being picked up by his brother Elwood in a battered former Mt. Prospect, Illinois police car, instead of the Cadillac The Blues Brothers used to own. 

The Blues Brothers visit their childhood home, a Roman Catholic orphanage, Saint Helen-of-the-Blessed-Shroud Orphanage. From Sister Mary Stigmata (Kathleen Freeman), The Blues Brothers learn that a property tax lien on the orphanage property will be foreclosed upon unless five thousand dollars in property taxes is remitted on its behalf to the county (the associated church has elected instead to sell the building to the Board of Education rather than pay the tax assessment). At the advice of their childhood mentor, Curtis (Cab Calloway), The Blues Brothers attend an evangelical church service at Triple Rock Baptist Church, led by the Reverend Cleophus James (James Brown), where Jake has an epiphany: The Blues Brothers can legitimately raise the funds by re-forming their rhythm and blues band, The Blues Brothers’ Band.
  
As The Blues Brothers drive past a doughnut shop and Nelson Funeral Home in the Bluesmobile, Elwood’s driving alerts two Illinois State Police troopers, Trooper Daniel (Armand Cerami) and Trooper Mount (Steven Williams), who, after pursuing The Blues Brothers into a quiet, secluded residential area, learn from their in-car SCMODS (State-County-Municipal Offender Data System) computer terminal of Elwood’s suspended driver's license. When Trooper Daniel and Trooper Mount attempt to place Elwood under arrest, Elwood speeds off, escaping by driving and crashing through, with the Illinois State Troopers in pursuit, the Dixie Square Mall. 

After parking the Bluesmobile in an alley-end compartment next to a high-voltage transformer (hence the Bluesmobile’s remarkable magical abilities) and arriving at Elwood’s home, a hotel for transients, The Blues Brothers are mysteriously unharmed from a bazooka attack launched by a mystery woman (Carrie Fisher). The next morning, just as the Illinois State Troopers who attempted to arrest Elwood the previous evening, with the help of Parole officer Burton Mercer (John Candy) as to the true address of “the elegant abode of one Elwood Blues” (because Elwood had ‘falsified his renewal’ and ‘put down ten sixty West Addison’, the street address of Wrigley Field) attempt to serve an arrest warrant at Elwood’s tiny room, the mystery woman detonates a bomb that demolishes the building, which inadvertently saves The Blue Brothers from another attempted arrest.

Elwood proceeds to his “straight job”, on the assembly line at an aerosol-can manufacturer, takes several cans from the line and places them in his briefcase, and visits the plant manager, quitting his job, citing a decision to become a priest (curiously, Elwood’s supervisor’s office is adorned with a U.S. flag and an Illinois state flag, suggesting that the aerosol-can manufacturer in an enterprise owned by the government of the State of Illinois—or else simply that Elwood’s supervisor thought it would be cool to adorn his office with a U.S. flag and an Illinois flag).

Jake and Elwood begin tracking down members of the band. Trombonist Tom “Bones” Malone and the rhythm section of the group (Willie “Too Big” Hall, Steve “The Colonel” Cropper, Donald “Duck” Dunn, and Murphy “Murph” Dunné) known as “Murph and the Magictones”, are playing in an empty Holiday Inn lounge, “The Armada Room”, and are readily convinced to rejoin The Blues Brothers’ Band. Trumpeter “Mister Fabulous” (Alan Rubin), now maître d' at a restaurant, is more of a challenge to persuade (“you ain′t never gonna get ’em outta those high-payin’ gigs”), but Jake and Elwood rudely convince him with some dining-room hijinks. En route to meet saxophonist Louis “Blue Lou” Marini and guitarist Matt “Guitar” Murphy, The Blues Brothers drive through a rally of neo-Nazis (upon whom Jake comments “Illinois Nazis—I hate Illinois Nazis!”) and adding another enemy to the The Blues Brothers’ growing list of pursuing parties. Marini and Murphy are working at the soul food restaurant on Maxwell Street, in Calumet City, Illinois, which Murphy owns with his wife (Aretha Franklin). Against her advice, the two musicians leave and rejoin the band. The reunited group obtain new musical instruments and associated equipment from Ray (Ray Charles) of Ray’s Music Exchange, in Calumet City, Illinois, on loan, pending payment from the proceeds of The Blues Brothers’s Band’s pending ‘triumphant return’.

Jake is unable to book a gig in advance, a"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0
"""

Cruft in trivia section
A backstage segment featuring dancing is certainly fancruft that doesn't belong. It being a reunion of sorts (and it being at WM) doesn't make it any more notable at all. The dance segment didn't affect any of the matches and certainly doesn't help the article.  
I suggest moving to the notes section.   3:16 
It's always been in the notes section, that's not the problem here. The problem is: it's a backstage segment. Backstage segments aren't notable, and don't affect the matches or anything... why add this one over others? Just because it was a reunion isn't a good enough reason in my opinion. People certainly could argue the Boogey Man/Trump segment was notable, as it featured the first time the 2 had interaction (or just on the fact Trump appeared). It's fancruft and serves no purpose except that some people might think it's """"interesting"""". That's not enough to keep it on the article.  
Oh I didn't see that. Hmmm... let me see what I can do with it...   3:16 

I think that we should just add them to the other talent section if they aren't there already and not mention the dance. It was pretty pointless, and doesn't seem necessary. Peace,  The rid 
While I agree that the Boogeyman segment wasn't notable, this segment had the return of Slick (first time in like 15 years) and a bunch of other WWE legends. It being a reunion and at WM does help its case IMO (especially the reunion part). You are saying being a backstage segment is the problem, so you wouldn't be objecting if they had done this on the stage or in the ring? If we mentioned them in the on screen talent section, what would we put down for them so someone else doesn't remove it. It also got covered in most reviews and coverage of the event (coevering the notability part). Being cruft is an opinion; being a reunion featuring over a dozen legends and covered by almost every review makes it worth at least mentioning.  

Eh, the return of Slick is pretty important. I'll change my vote to Weak Support, as I had forgotten about that point. Peace,  The rid 
Covered in almost every review? I find that very hard to believe. Provide some proof. Also: so what if it's covered? The matches are reviewed in the reviews as well: that doesn't mean we will start listing highlights for each match. I also recall there being a guideline on Wikipedia about it not being a democracy: meaning not everything should be determined by a vote. I somehow think if this fancruft was gone: no one would be re-adding except for TJ. From the edit history: it seems like he was the only one re-adding it back. That certainly shows that people don't care about it. A few talk page posts in favor of it: isn't much consensus to keep it on the article.  
 and  among others. Other people have added it back, I just get to it first usually.  
Considering OWW is a fansite, only the Slam link is reliable. Anyone can write a review and mention it: fansites aren't a reliable source. I've seen no edit history of anyone else re-adding it back, so I'm still going to believe no one else has (until I see otherwise). If I need to bring an admin into this, I will. Because in my opinion: it's a content dispute between me and TJ, as no one else seems to care much about ONE LITTLE crufty thing. Slick returned for ONE appearance, post it on the Slick article and leave it at that.  
I could find more if I tried, that was in a quick 1 minute search. I could flip it and say only you think it should be removed. I don't see the big deal. It's not cruft, it's notable (based on what counts as being notable), an"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,0
"""With all of the TALK / """"lies"""" that Chappell has given you concerning Schmidt, if any of you want to hear current samples of Mikey's trumpet music you can go here:
http://www.myspace.com/thetrumpetofthelord

Of course James A. Chappell is a drummer who knows nothing at all about how to play a trumpet.

"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0
"Yes, understood, but the fifth pillar reminds us that the spirit of the rule trumps the letter of the rule. However I'm embarrassed that I have taken up your time like this and I shall be more thoughtful in future."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0
"""
I agree, but I also don't agree.  There is nothing incorrect about the way that the article present Cruz's position.  Cruz specifically stated, word for word, that he supports """"marriage between one man and one woman.""""  The article quotes Cruz directly on his position.  You want to quote a reporter for CBS News, when that reporter is covering Cruz's appearance on Jay Leno's show.  The article currently quotes Cruz directly on what he said on Leno's show.  That option trumps the quoting of a reporter who wrote what he wanted to write and not what Cruz said.  You have not shown why your version of what happened on Leno's show should be put in the article and Cruz's direct word for word quote should be removed from the article.  What the subject says trumps the interpretation of a CBS News reporter.  """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0
"""
After edit conflict  including with myself. (D'oh.)
The way your reply is phrased leads me to wonder...  but never mind, this could end up as an infinite regression.  Shall we just say, the inferences you draw from my statement are not the ones I recognise as my intent, or as their actual implication, so you making a corresponding complaint seems somewhat ironic.  (You also don't address my question about notification at all.)
My statement was about a) JS's actual notability being predominantly in the area of Creationism, rather than chess (and certain versions of the article veering away from this reality); and b) the motivation of that editor (indeed, every editor, at least to that point) to be writing about him at all.  That's pretty clearly related to his significance as a creationist, and not some interest in writing about about chess more generally.  An implication of a """"pretext to promote a creationist agenda"""" does not appear to correlate with what I said at all.  (What I had in mind was more, increasing similarity to dust-jacket prose, and AA being reluctsnt to acknowledge this about his relative notabilities.)
Your """"false comparison"""" is likewise, nothing like any I was making.  JS is very notable as a Creationist, being a bucketload-selling author on such topics, as well as an internet celeb, which certainly merits an article, which in turn requires some discussion of his prowess  and distinctly lesser notability  as a chess player.  He's not so notable as a chess player that he would ordinarily have an article purely on him as such, and I see no reason to include every possible fact about him as a chess player, out of proportion to actual notability.
At any rate, if your evidence on the RFAr page stands as is, I shall feel compelled to respond to dispute your assertions about my comment.  I was rather hoping to keep out of the whole mess, personally, going as it largely does to """"does privacy policy completely trump autobiography concerns"""", about which I have opinions, but little direct involvement.  I'd like to ask you to withdraw them, or at least, to rephrase.   """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,0
"""== This page should not be speedy deleted because...  ==

This page should not be speedy deleted because...   

Given that a number of Australian curators are already listed and are not the subject of dispute, there is clearly no reason why a curator, per se, can't be considered worthy of a Wikipedia entry. While Julie Robinson certainly isn't at the same level of public awareness as Betty Churcher or Brian Kennedy, her work is still significant, particularly in the field of Australian photography, which in my opinion is currently somewhat underrepresented on Wikipedia. The two exhibitions mentioned in the first paragraph where clearly of importance within that context, and as soon as I have the opportunity I intend to add a page on Century In Focus. Very briefly, that was a three-month exhibition at one of Australia's most important public galleries, accompanied by a large-format book that was distributed by Thames & Hudson. Ms Robinson spent years working on it, as the head of a team of curators. As Sebastian Smee, himself a Pulitzer Prize winner, put it: """"If you are at all interested in Australian photography, whether or not you are from SA, you will want to see this show, or at least get hold of the catalogue.""""

Dpmuk has mentioned elsewhere that """"None of the sources are about her and there is no other indication of notability."""" I don't dispute that they are, in fact, about her work, but I don't believe that makes the page invalid. It was never intended to be an in-depth discussion of her personal history or background, but instead is meant to provide a way for people to find out more about her work, which, I'll reiterate, is certainly of importance. Exhibitions are an important part of our public culture – they inspire and educate – and as such they fully deserve to be written about.

There would obviously be no place for mention of the other exhibitions that Ms Robinson has curated in the page on Candid Camera or Century in Focus, so removing the page, while perhaps making Wikipedia more compliant and slightly tidier in dpmuk's view, will also remove what was always intended as a hub for people to learn more about art and photography in Australia. Personally, I don't know enough to add entries for all of the other exhibitions she has curated, but I'd like to think that, in time, they too will have their own pages, and the page currently in question will still be here to serve as a hub for further discovery.

Knowledge and education should always trump bureaucracy."""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,0
"""

Hello! I reject this ridiculous proposal to justify Trump's bigotry. Saying that """"Roosevelt did it too"""" is not going to wash. Roosevelt's internment of the Japanese is one of the most deplorable aspects of his presidency, and your suggestion that Muslims should be interned or that we are similarly at war with Muslims as we were with Nazi Germany is reprehensible. Cheers!  """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0
"""

 Trump's ethnic cleansing 

George Will, notable Conservative pundit, is the one whose view is that Donald Trump has proposed ethnic cleansing. I would never myself express an opinion in an encylopedia article. I merely voted that we add Will's highly notable opinion. This is in reference to his deportation plan of over 20 million Mexican-Americans, over half of whom were born here. Considering the amount of force one would require to deport 20 million human beings (hint:the military would most certainly be required), Will is by no means wrong or expressing an idiosyncratic view in accusing Trump of advocating ethnic cleansing, or a forcible homogenization of the population. Ethnic cleansing need not imply that Trump has promised to kill anyone, only that he has promised to """"make America more ethnically homogenous again"""", by force. Have a pleasant day.  """                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0
"Oppose, WP:ENGVAR should trump an inappropriate insistence on the MOS when it is wrong."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,0
